GenSense: Active Rules Catalog
----------------------------------------------------------------------------------------------------
Rule ID                        | Severity   | Description
SOL_SELFDESTRUCT_ADVISORY      | Warning | Just a quick note: 'selfdestruct' is being used here.
SOL_PRAGMA_STABILITY           | Warning | We noticed a floating pragma (e.g., ^0.8.0) in the contract header.
SOL_ACCESS_CONTROL_SETTER      | Warning | We observed a state mutation in a function that may be missing access control.
SOL_ZERO_ADDRESS_CHECK         | Warning | We noticed an address assignment that might be missing a zero-address check.
SOL_MISSING_EVENT_INDEX        | Warning | We noticed an event parameter that is not 'indexed'.
SOL_HARDCODED_ADDRESS          | Warning | We observed a hardcoded hexadecimal address literal.
SOL_TX_ORIGIN                  | Warning | We noticed 'tx.origin' being used for authentication.
SOL_TIMESTAMP_DEPENDENCY       | Warning | I noticed the use of 'block.timestamp' for timing logic.
SOL_REENTRANCY_RISK            | Warning | I noticed an external call that might be missing a reentrancy guard.
SOL_PRECISION_LOSS             | Warning | It looks like a division operation occurs before multiplication here.
RUST_UNSAFE_BLOCK              | Warning | Hey, I noticed an 'unsafe' block here.
RUST_HOST_INTERACTION          | Warning | We observed a direct interaction with host processes using 'std::process'.
RUST_STD_OUTPUT                | Warning | We observed the use of println! or eprintln! in library code.
RUST_ALLOCATION_IN_LOG         | Warning | We noticed 'format!' being used inside a logging macro.
RUST_CLONE_IN_LOOP             | Warning | Just a heads-up, there's a '.clone()' call inside this loop.
RUST_CONSTRUCTOR_BLOAT         | Warning | It looks like this constructor has quite a few arguments.
RUST_SILENT_FAILURE            | Warning | We observed a pattern of logging a failure but returning 'Ok(())'.
RUST_VEC_FRONT_REMOVE          | Warning | We noticed '.remove(0)' being called on a Vec.
RUST_ALGO_N2_LOOP              | Warning | We observed a search operation (.contains/.find) inside a loop over a collection.
RUST_CHANNEL_UNBOUNDED         | Warning | We observed the creation of an unbounded channel (unbounded_channel).
RUST_OVER_GENERAL_VARIABLE     | Warning | Semantic Smell: Over-generic variable naming detected.
RUST_LOCK_IO                   | Warning | I spotted a lock (Mutex/RwLock) that might be held across an I/O or await point.
RUST_UNCHECKED_IO              | Warning | I noticed an I/O operation followed directly by an `.unwrap()`.
RUST_UNWRAP_SAFETY             | Warning | I noticed an '.unwrap()' call that doesn't seem to have a '// SAFETY:' comment nearby.
RUST_TOKIO_SELECT_ELSE         | Warning | I noticed a 'tokio::select!' block that might be missing an 'else' or 'default' branch.
RUST_LARGE_STACK_ALLOCATION    | Warning | I noticed a large array allocation on the stack.
RUST_PANIC_IN_LIB              | Warning | I found an unconditional panic macro. Library code should generally avoid hard crashes.
RUST_GOD_FUNCTION              | Warning | God Function: block length exceeds standardized threshold (100 lines).
RUST_NESTING_LIMIT             | Warning | Deep Nesting: logical depth exceeds standardized limit (4 levels).
TS_GOD_FUNCTION                | Warning | God Function: block length exceeds standardized threshold (100 lines).
TS_NESTING_LIMIT               | Warning | Deep Nesting: logical depth exceeds standardized limit (4 levels).
TS_PRISMA_SELECT_STAR          | Warning | I noticed a Prisma query that fetches all fields. This is inefficient for production workloads.
